,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
39,0.984,0.984,0.984,0.984,0.027938671874999987,0.015134409427642822,0.491,0
40,0.979,0.979,0.979,0.979,0.03132285156250003,0.012080991673469543,0.423,0
41,0.981,0.981,0.981,0.981,0.028913769531250022,0.012036445343494415,0.479,0
42,0.982,0.982,0.982,0.982,0.029834960937500044,0.012702416574954986,0.490,0
43,0.982,0.982,0.982,0.982,0.031015527343750016,0.014677115482091904,0.394,0
44,0.981,0.981,0.981,0.981,0.031039941406249993,0.011826208037137985,0.464,0
45,0.981,0.981,0.981,0.981,0.03192822265624995,0.012928576689958572,0.480,0
46,0.981,0.981,0.981,0.981,0.030987695312500008,0.011755461496114731,0.402,0
47,0.982,0.982,0.982,0.982,0.030360546875000005,0.012670766067504884,0.532,0
48,0.98,0.98,0.98,0.98,0.033047656249999946,0.01188496360182762,0.511,0
49,0.981,0.981,0.981,0.981,0.03054306640625004,0.012317246210575103,0.496,0
50,0.983,0.983,0.983,0.983,0.029558886718749955,0.01366737750172615,0.481,0
51,0.981,0.981,0.981,0.981,0.03238212890625003,0.012329246085882187,0.509,0
52,0.98,0.98,0.98,0.98,0.032068847656249955,0.011526183718442917,0.515,0
53,0.98,0.98,0.98,0.98,0.03164199218749997,0.011950267070531845,0.487,0
54,0.979,0.979,0.979,0.979,0.03269882812500002,0.011337681484222413,0.519,0
55,0.982,0.982,0.982,0.982,0.03035585937499996,0.012464363032579423,0.488,0
56,0.983,0.983,0.983,0.983,0.02968066406250003,0.014551080250740051,0.488,0
57,0.981,0.981,0.981,0.981,0.031685351562499964,0.01322655109167099,0.621,0
58,0.983,0.983,0.983,0.983,0.028485546875000045,0.012420572805404663,0.481,0
59,0.981,0.981,0.981,0.981,0.03127304687499999,0.012482812470197677,0.481,0
60,0.982,0.982,0.982,0.982,0.03110263671875002,0.012750598430633545,0.481,0
61,0.982,0.982,0.982,0.982,0.029542675781250027,0.012111533027887344,0.528,0
62,0.983,0.983,0.983,0.983,0.028103613281249995,0.012886608386039734,0.513,0
63,0.981,0.981,0.981,0.981,0.03172626953125002,0.012359795761108398,0.430,0
64,0.983,0.983,0.983,0.983,0.02795341796874995,0.012742048609256745,0.512,0
65,0.984,0.984,0.984,0.984,0.026765429687499953,0.014159185254573822,0.483,0
66,0.982,0.982,0.982,0.982,0.030325878906250048,0.013722699838876725,0.399,0
67,0.981,0.981,0.981,0.981,0.03177285156249998,0.013394225037097932,0.507,0
68,0.981,0.981,0.981,0.981,0.03174101562499998,0.013523008924722671,0.446,0
69,0.981,0.981,0.981,0.981,0.032174511718749965,0.012854275393486023,0.513,0
70,0.982,0.982,0.982,0.982,0.029551660156249993,0.012450415182113648,0.528,0
71,0.982,0.982,0.982,0.982,0.030131445312500005,0.01500986179113388,0.367,0
72,0.982,0.982,0.982,0.982,0.029171777343749983,0.012671777099370956,0.511,0
73,0.979,0.979,0.979,0.979,0.03309716796874995,0.009266064894199372,0.535,0
74,0.983,0.983,0.983,0.983,0.028871972656249967,0.0136628993332386,0.472,0
75,0.981,0.981,0.981,0.981,0.02948681640624995,0.011834366172552109,0.486,0
76,0.981,0.981,0.981,0.981,0.031722656250000036,0.013253138464689255,0.562,0
77,0.982,0.982,0.982,0.982,0.030950000000000033,0.014406948870420455,0.613,0
78,0.98,0.98,0.98,0.98,0.03324394531249997,0.01190356103181839,0.483,0
79,0.984,0.984,0.984,0.984,0.028540234374999973,0.012537333059310913,0.402,0
80,0.98,0.98,0.98,0.98,0.03135673828124996,0.012294591528177261,0.517,0
81,0.98,0.98,0.98,0.98,0.03099306640624999,0.012068998181819916,0.402,0
82,0.98,0.98,0.98,0.98,0.03315283203124997,0.012310696649551391,0.478,0
83,0.984,0.984,0.984,0.984,0.028883105468749948,0.01316537367105484,0.514,0
84,0.979,0.98,0.979,0.979,0.03316718750000003,0.011501148104667664,0.565,0
85,0.981,0.981,0.981,0.981,0.030421777343749956,0.011798268324136734,0.408,0
86,0.981,0.981,0.981,0.981,0.032203125,0.013750368183851242,0.511,0
87,0.981,0.981,0.981,0.981,0.030826953124999945,0.01216979444026947,0.495,0
88,0.981,0.981,0.981,0.981,0.031941113281250044,0.012297183591127395,0.681,0
89,0.981,0.981,0.981,0.981,0.03092275390624999,0.012519196730852127,0.527,0
90,0.979,0.979,0.979,0.979,0.03329746093749997,0.012203784030675888,0.509,0
91,0.981,0.981,0.981,0.981,0.030438281250000032,0.01215336332321167,0.493,0
92,0.982,0.982,0.982,0.982,0.028871582031249954,0.012630871230363846,0.480,0
93,0.982,0.982,0.982,0.982,0.02993046875000005,0.014256409877538682,0.505,0
94,0.983,0.983,0.983,0.983,0.02965761718750004,0.013999808061122894,0.521,0
95,0.982,0.982,0.982,0.982,0.03143691406250004,0.014111080598831177,0.612,0
96,0.983,0.983,0.983,0.983,0.02864052734375,0.013873351162672043,0.519,0
97,0.981,0.981,0.981,0.981,0.03155820312500002,0.01180584756731987,0.492,0
98,0.982,0.982,0.982,0.982,0.030030761718749965,0.012434084194898606,0.489,0
99,0.982,0.982,0.982,0.982,0.030001367187500017,0.01322050809264183,0.513,0
