,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
36,0.971,0.972,0.971,0.971,0.16478867187500001,0.16602363901138306,0.856,0
37,0.973,0.973,0.973,0.973,0.16234882812499996,0.16755410561561584,1.307,0
38,0.971,0.971,0.971,0.971,0.16187626953125,0.16529584313035012,1.317,0
39,0.969,0.97,0.969,0.969,0.16438769531249997,0.1640622337818146,1.067,0
40,0.969,0.969,0.969,0.969,0.16892773437499997,0.16682733120322227,1.225,0
41,0.968,0.969,0.968,0.968,0.16298164062499998,0.16374652435779571,1.869,0
42,0.968,0.969,0.968,0.968,0.17008447265625004,0.16458219306468963,1.578,0
43,0.974,0.974,0.974,0.974,0.1611978515625,0.1666275493323803,1.312,0
44,0.971,0.971,0.971,0.971,0.16420771484374996,0.16632079606056213,1.192,0
45,0.969,0.969,0.969,0.969,0.16764038085937505,0.16570274723172188,0.787,0
46,0.971,0.971,0.971,0.971,0.16480380859375,0.1652227552175522,1.015,0
47,0.967,0.968,0.967,0.967,0.16613208007812497,0.16447512814998627,0.826,0
48,0.971,0.971,0.971,0.971,0.16367343749999996,0.16424680744409562,0.877,0
49,0.971,0.972,0.971,0.971,0.1626140625,0.16776140160560607,1.786,0
50,0.968,0.969,0.968,0.968,0.1664734375,0.16360655175447464,0.703,0
51,0.97,0.97,0.97,0.97,0.16724233398437505,0.1639980204105377,0.837,0
52,0.972,0.972,0.972,0.972,0.16274130859375002,0.16392729711532592,1.885,0
53,0.969,0.97,0.969,0.97,0.16517866210937504,0.16609790266752242,1.723,0
54,0.968,0.968,0.968,0.968,0.1687263671875,0.16380423508286476,1.955,0
55,0.97,0.97,0.97,0.97,0.16859873046874996,0.1662608584165573,1.260,0
56,0.972,0.972,0.972,0.972,0.15797172851562502,0.1668706312596798,2.182,0
57,0.968,0.968,0.968,0.968,0.16771450195312498,0.16397208323478699,1.945,0
58,0.97,0.97,0.97,0.97,0.16715825195312495,0.16470610299110414,1.174,0
59,0.974,0.974,0.974,0.974,0.16026005859375003,0.16693242236971856,1.556,0
60,0.969,0.969,0.969,0.969,0.17081103515624996,0.16700432276725768,1.059,0
61,0.969,0.97,0.969,0.969,0.16548144531249998,0.165493809902668,1.271,0
62,0.97,0.971,0.97,0.971,0.16676889648437498,0.16698190195560456,1.691,0
63,0.97,0.971,0.97,0.97,0.16421230468750003,0.16486247393488884,1.192,0
64,0.968,0.969,0.968,0.968,0.1714203125,0.1629442724645138,1.265,0
65,0.971,0.972,0.971,0.971,0.16462978515625004,0.167308919018507,0.699,0
66,0.971,0.971,0.971,0.971,0.164510498046875,0.16749317921996118,1.840,0
67,0.97,0.971,0.97,0.971,0.16211298828124998,0.16539060415029525,1.376,0
68,0.97,0.97,0.97,0.97,0.16890488281250005,0.16565524958372116,2.505,0
69,0.969,0.97,0.969,0.969,0.16797744140625004,0.16724664227366448,2.026,0
70,0.968,0.968,0.968,0.968,0.16820961914062504,0.1651273522078991,2.212,0
71,0.968,0.969,0.968,0.968,0.16675961914062498,0.1635185969889164,1.838,0
72,0.97,0.97,0.97,0.97,0.16389648437500004,0.16614776604175568,1.582,0
73,0.969,0.969,0.969,0.969,0.16552241210937502,0.1652024728655815,0.731,0
74,0.966,0.967,0.966,0.966,0.16940590820312496,0.1645389311850071,1.056,0
75,0.969,0.97,0.969,0.969,0.16500644531249997,0.16420002955198287,0.814,0
76,0.97,0.971,0.97,0.97,0.16594028320312504,0.16664549732804299,1.132,0
77,0.97,0.97,0.97,0.97,0.16638115234374995,0.1672994638442993,0.882,0
78,0.973,0.974,0.973,0.973,0.16263027343750003,0.16535395971536637,1.157,0
79,0.971,0.972,0.971,0.971,0.16172553710937498,0.16683862949609757,1.694,0
80,0.97,0.97,0.97,0.97,0.167255322265625,0.1661433621287346,1.503,0
81,0.968,0.968,0.968,0.968,0.16333896484375,0.16508523875474929,1.607,0
82,0.972,0.972,0.972,0.972,0.16016752929687506,0.1689938930630684,1.241,0
83,0.968,0.969,0.968,0.969,0.1674853515625,0.1663972595691681,1.566,0
84,0.97,0.97,0.97,0.97,0.16050268554687497,0.16573592684865,1.085,0
85,0.969,0.97,0.969,0.969,0.16375278320312503,0.1665668957233429,1.180,0
86,0.966,0.967,0.966,0.966,0.17068681640625005,0.16322050097584725,1.169,0
87,0.968,0.968,0.968,0.968,0.16609643554687503,0.16671161809563637,1.537,0
88,0.971,0.972,0.971,0.971,0.16163867187500003,0.16590789475440978,1.710,0
89,0.97,0.971,0.97,0.97,0.16483491210937495,0.16610430505275725,1.419,0
90,0.969,0.97,0.969,0.969,0.16414946289062504,0.1660120348095894,1.044,0
91,0.971,0.971,0.971,0.971,0.16161640624999996,0.16903454157114028,0.996,0
92,0.971,0.971,0.971,0.971,0.16640332031250005,0.16469575271606446,1.636,0
93,0.972,0.972,0.972,0.972,0.16003935546875003,0.16493489100933076,1.204,0
94,0.969,0.969,0.969,0.969,0.1704,0.1629357062458992,1.224,0
95,0.97,0.971,0.97,0.97,0.16117963867187501,0.16302394135594367,1.193,0
96,0.973,0.973,0.973,0.973,0.15712998046875004,0.16795678882598877,1.242,0
97,0.968,0.969,0.968,0.968,0.16536567382812495,0.1661463456392288,1.403,0
98,0.97,0.971,0.97,0.97,0.16599252929687502,0.16665807040333747,0.803,0
99,0.971,0.972,0.971,0.971,0.16724135742187496,0.1662086719751358,1.835,0
