,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
38,0.846,0.846,0.846,0.846,0.220216650390625,0.0174975884526968,1.404,0.9865060130099572
39,0.848,0.847,0.848,0.847,0.22153398437500005,0.01210952832698822,1.386,0.9853535475334549
40,0.843,0.843,0.843,0.843,0.22284707031249995,0.018839432168006896,1.402,0.9863603225813377
41,0.848,0.847,0.848,0.847,0.220342236328125,0.015872187492251395,1.644,0.9857847118006402
42,0.846,0.844,0.846,0.845,0.22216899414062496,0.018175628742575646,1.704,0.98545804245315
43,0.845,0.845,0.845,0.845,0.22116635742187496,0.0162704642534256,1.663,0.9858518458946124
44,0.856,0.855,0.856,0.855,0.20961879882812495,0.015032839274406433,1.291,0.9870393983629887
45,0.844,0.843,0.844,0.843,0.22166884765624995,0.018708871206641196,1.448,0.9857355925098
46,0.85,0.849,0.85,0.849,0.21644472656250002,0.009420457196235656,1.556,0.9864753580889593
47,0.844,0.844,0.844,0.844,0.22346215820312498,0.01605850094258785,1.645,0.9852872376932489
48,0.847,0.846,0.847,0.847,0.22097504882812502,0.014661469539999961,1.780,0.9856180847674143
49,0.85,0.849,0.85,0.849,0.21567499999999995,0.011760471260547639,1.657,0.985851388966827
50,0.846,0.845,0.846,0.845,0.21997890625000005,0.018694386869668962,1.435,0.9860826478709883
51,0.843,0.843,0.843,0.843,0.22355522460937505,0.017543437108397484,1.793,0.9855278272073006
52,0.839,0.839,0.839,0.839,0.230217529296875,0.017410474276542662,1.655,0.9847801678997964
53,0.848,0.848,0.848,0.848,0.21947421874999995,0.015060043048858643,1.526,0.9860762557392194
54,0.845,0.844,0.845,0.844,0.22269218749999997,0.018775805482268332,2.167,0.9852810201164862
55,0.848,0.847,0.848,0.847,0.217175048828125,0.015082372990250588,1.933,0.986279756360843
56,0.84,0.839,0.84,0.839,0.22911499023437498,0.020065527212619783,1.616,0.9850007471124769
57,0.846,0.845,0.846,0.846,0.21904643554687497,0.014656937882304192,1.549,0.9854557857846412
58,0.851,0.85,0.851,0.85,0.21404843750000002,0.011359422931075096,1.794,0.9864898875594706
59,0.845,0.844,0.845,0.844,0.222799072265625,0.012366603922843934,1.593,0.9858730671137916
60,0.846,0.846,0.846,0.846,0.22114667968750001,0.016696573147177696,1.529,0.9857719670085696
61,0.84,0.84,0.84,0.84,0.22762563476562503,0.019448246636986733,1.449,0.9851735544509956
62,0.843,0.843,0.843,0.843,0.22334404296875,0.01609732699394226,1.725,0.9854284834794292
63,0.838,0.837,0.838,0.837,0.23317500000000002,0.016347362446784974,1.566,0.9839854267890876
64,0.844,0.843,0.844,0.843,0.22479980468750005,0.013462524914741517,1.684,0.9856332174546427
65,0.845,0.844,0.845,0.845,0.22167270507812498,0.018688400316238404,1.426,0.9858545357666525
66,0.853,0.852,0.853,0.852,0.21329208984375003,0.010458389276266099,1.367,0.9867916147966944
67,0.848,0.847,0.848,0.847,0.22011596679687495,0.014755541759729386,1.613,0.9857501298722617
68,0.851,0.85,0.851,0.85,0.21445161132812496,0.010873794203996659,1.629,0.9858534674865552
69,0.849,0.849,0.849,0.848,0.216343115234375,0.01450718564093113,1.674,0.986026577159083
70,0.847,0.847,0.847,0.847,0.21883271484375,0.013050258839130401,1.678,0.985952168859761
71,0.842,0.842,0.842,0.842,0.2260490234375,0.018777946734428407,1.435,0.9851868466184823
72,0.844,0.844,0.844,0.844,0.225366162109375,0.012358938252925873,1.293,0.9850565951692859
73,0.844,0.843,0.844,0.844,0.22246733398437502,0.02011918156147003,1.461,0.9854056294508495
74,0.843,0.842,0.843,0.842,0.22377641601562503,0.018327711701393128,1.544,0.9850021075257475
75,0.842,0.842,0.842,0.842,0.22298164062500003,0.01571538392007351,1.706,0.9859933144525288
76,0.85,0.849,0.85,0.849,0.21457910156250004,0.015897117733955385,1.719,0.9869486993196308
77,0.841,0.84,0.841,0.84,0.22537080078125005,0.020136701941490174,1.505,0.985614921546676
78,0.849,0.848,0.849,0.848,0.21840292968749997,0.012974648013710975,1.438,0.9860118189104217
79,0.849,0.848,0.849,0.848,0.21782622070312496,0.01019635865688324,1.941,0.9861535947197257
80,0.843,0.842,0.843,0.842,0.22444721679687496,0.01527979176044464,1.664,0.985463181047173
81,0.849,0.848,0.849,0.849,0.218623046875,0.014948123732209205,1.564,0.9856421284870585
82,0.847,0.846,0.847,0.846,0.22164350585937498,0.01771857460439205,1.567,0.9854352804857726
83,0.844,0.843,0.844,0.843,0.2272099609375,0.015376179322600365,1.528,0.9849785587680151
84,0.851,0.85,0.851,0.85,0.216543896484375,0.013190692257881165,1.474,0.9858103776044528
85,0.855,0.854,0.855,0.854,0.21386806640625,0.009678923821449279,1.548,0.9862893541654035
86,0.85,0.85,0.85,0.85,0.21606425781250005,0.01822636585533619,1.740,0.986458232865731
87,0.843,0.843,0.843,0.843,0.224133935546875,0.01406622307896614,1.742,0.985733774321778
88,0.845,0.844,0.845,0.844,0.22404150390625,0.016411628437042237,1.642,0.9855589509178359
89,0.847,0.847,0.847,0.847,0.21741777343750002,0.017923697316646576,1.779,0.9861070895681916
90,0.847,0.846,0.847,0.846,0.21904438476562504,0.014776978826522827,1.521,0.9860249364700868
91,0.848,0.847,0.848,0.847,0.21804204101562497,0.018166262558102608,1.655,0.9862888253533617
92,0.838,0.837,0.838,0.838,0.22660986328125,0.02057239941954613,1.449,0.9854221116525161
93,0.846,0.846,0.846,0.846,0.21942856445312497,0.01731739487349987,2.290,0.986784867902972
94,0.841,0.84,0.841,0.84,0.22485766601562496,0.01970880298614502,1.995,0.986165729773749
95,0.847,0.846,0.847,0.846,0.2185876953125,0.01355364303290844,2.021,0.9863355658277626
96,0.847,0.846,0.847,0.846,0.21941772460937503,0.015064208635687828,1.844,0.9864397188406088
97,0.849,0.848,0.849,0.848,0.21849770507812505,0.012855264580249786,1.459,0.9855181479436663
98,0.846,0.846,0.846,0.846,0.21943408203125003,0.013762658676505089,1.512,0.9860344919947194
99,0.847,0.846,0.847,0.846,0.21930170898437495,0.0173744569927454,1.347,0.9858864360981494
